Müzik	m\u00fczik+Noun+A3sg+Pnon+Nom	Noun	O
Şenliği'ne	\u015fenlik+Noun+Prop+A3sg+P3sg+Dat	Prop	O
hazırlanın	haz\u0131rla+Verb+Reflex+Pos+Imp+A2pl	Reflex	O
POZİTİF	pozitif+Adj	Adj	I-ORG
ve	ve+Conj	Conj	I-ORG
Açık	a\u00e7\u0131k+Adj	Adj	I-ORG
Radyo	radyo+Noun+A3sg+Pnon+Nom	Noun	I-ORG
işbirliğiyle	i\u015fbirlik+Noun+A3sg+P3sg+Ins	Noun	O
düzenlenecek	d\u00fczenle+Verb^DB+Verb+Pass+Pos^DB+Adj+FutPart+Pnon	Adj	O
olan	ol+Verb+Pos^DB+Adj+PresPart	Adj	O
İstanbul	istanbul+Noun+Prop+A3sg+Pnon+Nom	Prop	I-LOC
Müzik	m\u00fczik+Noun+A3sg+Pnon+Nom	Noun	O
Şenliği	\u015fenlik+Noun+A3sg+P3sg+Nom	Noun	O
2	2+Num+Card	NNum	O
,	,+Punc	Punc	O
müzikseverlere	m\u00fcziksever+Noun+A3pl+Pnon+Dat	Noun	O
Aralık	aral\u0131k+Noun+A3sg+Pnon+Nom	Noun	O
ayında	ay+Noun+A3sg+P3sg+Loc	Noun	O
merhaba	merhaba+Noun+A3sg+Pnon+Nom	Noun	O
demeye	de+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat	Noun	O
hazırlanıyor	haz\u0131rla+Verb^DB+Verb+Pass+Pos+Prog1+A3sg	Verb	O

Tek	tek+Adj	Adj	O
çatı	\u00e7at\u0131+Noun+A3sg+Pnon+Nom	Noun	O
altında	alt+Noun+A3sg+P3sg+Loc	Noun	O
dokuz	dokuz+Num+Card	NNum	O
ayrı	ayr\u0131+Adj	Adj	O
salonda	salon+Noun+A3sg+Pnon+Loc	Noun	O
gerçekleştirilecek	ger\u00e7ek+Noun+A3sg+Pnon+Nom^DB+Verb+Become^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Adj+FutPart+Pnon	Adj	O
Şenlik	\u015fenlik+Noun+A3sg+Pnon+Nom	Noun	O
kapsamında	kapsam+Noun+A3sg+P3sg+Loc	Noun	O
doksanın	doksan+Num+Card^DB+Noun+Zero+A3sg+Pnon+Gen	Zero	O
üzerinde	\u00fczer+Noun+A3sg+P3sg+Loc	Noun	O
etkinlik	etkin+Adj^DB+Noun+Ness+A3sg+Pnon+Nom	Ness	O
